,address,map_section,map_parcel,parcel_full,PWD_review,DOR_review,address_licdata,unit_type,unit_num,zip,opa_accoun,opa_owner,licensenum,licensetyp,initialiss,mostrecent,expiration,inactiveda,licensesta,legalfirst,legallastn,legalname,legalentit,business_n,business_m,geocode_x,geocode_y,geometry
939,,047S110010,047S11,0010,,,6850 ESSINGTON AVE,,,19153-3413,884169500,PBF LOGISTICS PRODUCTS TE,328727,Scales and Scanners,2005-07-30,2005-07-30,2006-07-30,,Inactive,,,SUPPORT TERMINALS OPER PRTS LP,Company,SUPPORT TERMINALS OPER PRTS LP,"17304 PRESTON RD 1000 DALLAS, TX  75252 USA",2678436.8181572,218972.5472946,"POLYGON ((2679160.849193305 219790.73156268537, 2679137.70324136 219650.2915263, 2679129.747220303 219599.17842916565, 2679118.0871380996 219532.84849585395, 2679118.570405007 219530.43741096286, 2679103.6222738726 219355.0384482767, 2679112.301398747 219104.17636753304, 2679122.186229739 218868.6233143965, 2679126.4342552694 218804.87244507158, 2679152.7872355906 218449.00432036456, 2679152.7987185232 218448.8504492562, 2679160.055269726 218350.84143961372, 2679159.1861768123 218350.85423483947, 2679114.438225917 218351.51729021143, 2679003.775367557 218352.5313930438, 2678660.862271473 218355.68328118027, 2678384.690196865 218358.70820278284, 2678331.3622089424 218359.76036483055, 2678267.049988854 218361.02840544668, 2678227.0602315064 218361.81613264018, 2678272.688751735 218605.21628599893, 2678272.7169668814 218605.36720434614, 2678304.027273303 218779.659214094, 2678311.7972713844 218818.83401250563, 2678311.802192639 218818.85829068333, 2678330.622038104 218913.75050870943, 2678332.6597637967 218924.35482035993, 2678336.378260518 218943.70649163608, 2678337.7719586394 218949.43023465664, 2678343.102985198 218971.3212714947, 2678346.4681362477 218985.23200768267, 2678346.50225692 218985.372427375, 2678396.402095475 219208.30050484304, 2678489.1781624295 219681.0024118032, 2678518.2351958943 219710.77958990863, 2678571.036280927 219745.8585963668, 2678603.0929814507 219754.8598933348, 2678604.0132553857 219755.1184230848, 2678637.1083398424 219764.4113861898, 2678637.579139529 219764.5436038167, 2678695.5580382016 219745.25558236986, 2678872.0767492084 219736.60927718293, 2678872.7650681874 219736.57548456386, 2679159.9535256256 219790.56325584988, 2679160.849193305 219790.73156268537))"
523471,,047S170035,047S17,0035,,,6850 ESSINGTON AVE,,,19153-3413,884169500,PBF LOGISTICS PRODUCTS TE,328727,Scales and Scanners,2005-07-30,2005-07-30,2006-07-30,,Inactive,,,SUPPORT TERMINALS OPER PRTS LP,Company,SUPPORT TERMINALS OPER PRTS LP,"17304 PRESTON RD 1000 DALLAS, TX  75252 USA",2678436.8181572,218972.5472946,"POLYGON ((2678435.960102523 218926.501472799, 2678379.218086023 218654.5282078806, 2678353.6620276477 218732.28233220978, 2678357.5891836463 218817.54923912222, 2678358.9002044504 218834.7434339019, 2678369.6209842525 218887.78434914866, 2678373.3112658337 218906.2544603431, 2678379.2941938806 218936.2035535479, 2678383.6091461396 218958.2704430593, 2678387.5310545727 218978.32224430036, 2678346.4681362477 218985.23200768267, 2678345.6341482317 218985.37242734712, 2678395.533986792 219208.3005048477, 2678488.3100537695 219681.0024117567, 2678517.3670872394 219710.77958987613, 2678570.1681722696 219745.85859631104, 2678603.1451467033 219755.1184230569, 2678603.0929814507 219754.8598933348, 2678435.960102523 218926.501472799))"
597490,,047S170026,047S17,0026,,,6850 ESSINGTON AVE,,,19153-3413,884169500,PBF LOGISTICS PRODUCTS TE,328727,Scales and Scanners,2005-07-30,2005-07-30,2006-07-30,,Inactive,,,SUPPORT TERMINALS OPER PRTS LP,Company,SUPPORT TERMINALS OPER PRTS LP,"17304 PRESTON RD 1000 DALLAS, TX  75252 USA",2678436.8181572,218972.5472946,"POLYGON ((2679159.9535256256 219790.56325584988, 2679136.8351327097 219650.2915262768, 2679128.879111644 219599.1784291517, 2679117.2193575045 219532.84849584464, 2679117.7022963255 219530.43741093035, 2679102.754165203 219355.03844824882, 2679111.433290092 219104.17636753304, 2679121.318449141 218868.62331436863, 2679125.566146581 218804.872445053, 2679151.9194550132 218449.00432034137, 2678364.447116993 218588.83836517992, 2678308.1722837584 218598.83440868775, 2678272.688751735 218605.21628599893, 2678271.8491862956 218605.3672043322, 2678303.159164624 218779.65921408005, 2678310.9340839703 218818.85829065082, 2678329.7542575 218913.75050868618, 2678335.5101518515 218943.70649163146, 2678342.23520462 218971.32127145294, 2678345.6341482317 218985.37242734712, 2678488.3100537695 219681.0024117567, 2678517.3670872394 219710.77958987613, 2678570.1681722696 219745.85859631104, 2678603.1451467033 219755.1184230569, 2678636.7110308544 219764.54360382134, 2678637.1083398424 219764.4113861898, 2678694.690257611 219745.25558232339, 2678871.897287611 219736.57548456386, 2678872.0767492084 219736.60927718293, 2679159.9814126953 219790.73156263423, 2679159.9535256256 219790.56325584988))"
939,,047S110010,047S11,0010,,,6850 ESSINGTON AVE,,,19153-3413,884169500,PBF LOGISTICS PRODUCTS TE,328723,Dumpster License - Private Property,2005-07-30,2005-07-30,2010-07-31,,Inactive,,,SUPPORT TERMINALS OPER PRTS LP,Company,SUPPORT TERMINALS OPER PRTS LP,"17304 PRESTON RD 1000 DALLAS, TX  75252 USA",2678436.8181572,218972.5472946,"POLYGON ((2679160.849193305 219790.73156268537, 2679137.70324136 219650.2915263, 2679129.747220303 219599.17842916565, 2679118.0871380996 219532.84849585395, 2679118.570405007 219530.43741096286, 2679103.6222738726 219355.0384482767, 2679112.301398747 219104.17636753304, 2679122.186229739 218868.6233143965, 2679126.4342552694 218804.87244507158, 2679152.7872355906 218449.00432036456, 2679152.7987185232 218448.8504492562, 2679160.055269726 218350.84143961372, 2679159.1861768123 218350.85423483947, 2679114.438225917 218351.51729021143, 2679003.775367557 218352.5313930438, 2678660.862271473 218355.68328118027, 2678384.690196865 218358.70820278284, 2678331.3622089424 218359.76036483055, 2678267.049988854 218361.02840544668, 2678227.0602315064 218361.81613264018, 2678272.688751735 218605.21628599893, 2678272.7169668814 218605.36720434614, 2678304.027273303 218779.659214094, 2678311.7972713844 218818.83401250563, 2678311.802192639 218818.85829068333, 2678330.622038104 218913.75050870943, 2678332.6597637967 218924.35482035993, 2678336.378260518 218943.70649163608, 2678337.7719586394 218949.43023465664, 2678343.102985198 218971.3212714947, 2678346.4681362477 218985.23200768267, 2678346.50225692 218985.372427375, 2678396.402095475 219208.30050484304, 2678489.1781624295 219681.0024118032, 2678518.2351958943 219710.77958990863, 2678571.036280927 219745.8585963668, 2678603.0929814507 219754.8598933348, 2678604.0132553857 219755.1184230848, 2678637.1083398424 219764.4113861898, 2678637.579139529 219764.5436038167, 2678695.5580382016 219745.25558236986, 2678872.0767492084 219736.60927718293, 2678872.7650681874 219736.57548456386, 2679159.9535256256 219790.56325584988, 2679160.849193305 219790.73156268537))"
523471,,047S170035,047S17,0035,,,6850 ESSINGTON AVE,,,19153-3413,884169500,PBF LOGISTICS PRODUCTS TE,328723,Dumpster License - Private Property,2005-07-30,2005-07-30,2010-07-31,,Inactive,,,SUPPORT TERMINALS OPER PRTS LP,Company,SUPPORT TERMINALS OPER PRTS LP,"17304 PRESTON RD 1000 DALLAS, TX  75252 USA",2678436.8181572,218972.5472946,"POLYGON ((2678435.960102523 218926.501472799, 2678379.218086023 218654.5282078806, 2678353.6620276477 218732.28233220978, 2678357.5891836463 218817.54923912222, 2678358.9002044504 218834.7434339019, 2678369.6209842525 218887.78434914866, 2678373.3112658337 218906.2544603431, 2678379.2941938806 218936.2035535479, 2678383.6091461396 218958.2704430593, 2678387.5310545727 218978.32224430036, 2678346.4681362477 218985.23200768267, 2678345.6341482317 218985.37242734712, 2678395.533986792 219208.3005048477, 2678488.3100537695 219681.0024117567, 2678517.3670872394 219710.77958987613, 2678570.1681722696 219745.85859631104, 2678603.1451467033 219755.1184230569, 2678603.0929814507 219754.8598933348, 2678435.960102523 218926.501472799))"
597490,,047S170026,047S17,0026,,,6850 ESSINGTON AVE,,,19153-3413,884169500,PBF LOGISTICS PRODUCTS TE,328723,Dumpster License - Private Property,2005-07-30,2005-07-30,2010-07-31,,Inactive,,,SUPPORT TERMINALS OPER PRTS LP,Company,SUPPORT TERMINALS OPER PRTS LP,"17304 PRESTON RD 1000 DALLAS, TX  75252 USA",2678436.8181572,218972.5472946,"POLYGON ((2679159.9535256256 219790.56325584988, 2679136.8351327097 219650.2915262768, 2679128.879111644 219599.1784291517, 2679117.2193575045 219532.84849584464, 2679117.7022963255 219530.43741093035, 2679102.754165203 219355.03844824882, 2679111.433290092 219104.17636753304, 2679121.318449141 218868.62331436863, 2679125.566146581 218804.872445053, 2679151.9194550132 218449.00432034137, 2678364.447116993 218588.83836517992, 2678308.1722837584 218598.83440868775, 2678272.688751735 218605.21628599893, 2678271.8491862956 218605.3672043322, 2678303.159164624 218779.65921408005, 2678310.9340839703 218818.85829065082, 2678329.7542575 218913.75050868618, 2678335.5101518515 218943.70649163146, 2678342.23520462 218971.32127145294, 2678345.6341482317 218985.37242734712, 2678488.3100537695 219681.0024117567, 2678517.3670872394 219710.77958987613, 2678570.1681722696 219745.85859631104, 2678603.1451467033 219755.1184230569, 2678636.7110308544 219764.54360382134, 2678637.1083398424 219764.4113861898, 2678694.690257611 219745.25558232339, 2678871.897287611 219736.57548456386, 2678872.0767492084 219736.60927718293, 2679159.9814126953 219790.73156263423, 2679159.9535256256 219790.56325584988))"
939,,047S110010,047S11,0010,,,6850 ESSINGTON AVE,,,19153-3413,884169500,PBF LOGISTICS PRODUCTS TE,285016,Motor Vehicle Repair / Retail Mobile Dispensing,2004-01-08,2004-01-08,2005-12-31,,Inactive,,,EXXON MOBIL CORP,Company,EXXON MOBIL CORP,"6850 ESSINGTON AVE PHILADELPHIA, PA  19153 USA",2678436.8181572,218972.5472946,"POLYGON ((2679160.849193305 219790.73156268537, 2679137.70324136 219650.2915263, 2679129.747220303 219599.17842916565, 2679118.0871380996 219532.84849585395, 2679118.570405007 219530.43741096286, 2679103.6222738726 219355.0384482767, 2679112.301398747 219104.17636753304, 2679122.186229739 218868.6233143965, 2679126.4342552694 218804.87244507158, 2679152.7872355906 218449.00432036456, 2679152.7987185232 218448.8504492562, 2679160.055269726 218350.84143961372, 2679159.1861768123 218350.85423483947, 2679114.438225917 218351.51729021143, 2679003.775367557 218352.5313930438, 2678660.862271473 218355.68328118027, 2678384.690196865 218358.70820278284, 2678331.3622089424 218359.76036483055, 2678267.049988854 218361.02840544668, 2678227.0602315064 218361.81613264018, 2678272.688751735 218605.21628599893, 2678272.7169668814 218605.36720434614, 2678304.027273303 218779.659214094, 2678311.7972713844 218818.83401250563, 2678311.802192639 218818.85829068333, 2678330.622038104 218913.75050870943, 2678332.6597637967 218924.35482035993, 2678336.378260518 218943.70649163608, 2678337.7719586394 218949.43023465664, 2678343.102985198 218971.3212714947, 2678346.4681362477 218985.23200768267, 2678346.50225692 218985.372427375, 2678396.402095475 219208.30050484304, 2678489.1781624295 219681.0024118032, 2678518.2351958943 219710.77958990863, 2678571.036280927 219745.8585963668, 2678603.0929814507 219754.8598933348, 2678604.0132553857 219755.1184230848, 2678637.1083398424 219764.4113861898, 2678637.579139529 219764.5436038167, 2678695.5580382016 219745.25558236986, 2678872.0767492084 219736.60927718293, 2678872.7650681874 219736.57548456386, 2679159.9535256256 219790.56325584988, 2679160.849193305 219790.73156268537))"
523471,,047S170035,047S17,0035,,,6850 ESSINGTON AVE,,,19153-3413,884169500,PBF LOGISTICS PRODUCTS TE,285016,Motor Vehicle Repair / Retail Mobile Dispensing,2004-01-08,2004-01-08,2005-12-31,,Inactive,,,EXXON MOBIL CORP,Company,EXXON MOBIL CORP,"6850 ESSINGTON AVE PHILADELPHIA, PA  19153 USA",2678436.8181572,218972.5472946,"POLYGON ((2678435.960102523 218926.501472799, 2678379.218086023 218654.5282078806, 2678353.6620276477 218732.28233220978, 2678357.5891836463 218817.54923912222, 2678358.9002044504 218834.7434339019, 2678369.6209842525 218887.78434914866, 2678373.3112658337 218906.2544603431, 2678379.2941938806 218936.2035535479, 2678383.6091461396 218958.2704430593, 2678387.5310545727 218978.32224430036, 2678346.4681362477 218985.23200768267, 2678345.6341482317 218985.37242734712, 2678395.533986792 219208.3005048477, 2678488.3100537695 219681.0024117567, 2678517.3670872394 219710.77958987613, 2678570.1681722696 219745.85859631104, 2678603.1451467033 219755.1184230569, 2678603.0929814507 219754.8598933348, 2678435.960102523 218926.501472799))"
597490,,047S170026,047S17,0026,,,6850 ESSINGTON AVE,,,19153-3413,884169500,PBF LOGISTICS PRODUCTS TE,285016,Motor Vehicle Repair / Retail Mobile Dispensing,2004-01-08,2004-01-08,2005-12-31,,Inactive,,,EXXON MOBIL CORP,Company,EXXON MOBIL CORP,"6850 ESSINGTON AVE PHILADELPHIA, PA  19153 USA",2678436.8181572,218972.5472946,"POLYGON ((2679159.9535256256 219790.56325584988, 2679136.8351327097 219650.2915262768, 2679128.879111644 219599.1784291517, 2679117.2193575045 219532.84849584464, 2679117.7022963255 219530.43741093035, 2679102.754165203 219355.03844824882, 2679111.433290092 219104.17636753304, 2679121.318449141 218868.62331436863, 2679125.566146581 218804.872445053, 2679151.9194550132 218449.00432034137, 2678364.447116993 218588.83836517992, 2678308.1722837584 218598.83440868775, 2678272.688751735 218605.21628599893, 2678271.8491862956 218605.3672043322, 2678303.159164624 218779.65921408005, 2678310.9340839703 218818.85829065082, 2678329.7542575 218913.75050868618, 2678335.5101518515 218943.70649163146, 2678342.23520462 218971.32127145294, 2678345.6341482317 218985.37242734712, 2678488.3100537695 219681.0024117567, 2678517.3670872394 219710.77958987613, 2678570.1681722696 219745.85859631104, 2678603.1451467033 219755.1184230569, 2678636.7110308544 219764.54360382134, 2678637.1083398424 219764.4113861898, 2678694.690257611 219745.25558232339, 2678871.897287611 219736.57548456386, 2678872.0767492084 219736.60927718293, 2679159.9814126953 219790.73156263423, 2679159.9535256256 219790.56325584988))"
939,,047S110010,047S11,0010,,,6850 ESSINGTON AVE,,,19153-3413,884169500,PBF LOGISTICS PRODUCTS TE,288682,Auto Wrecking / Junk Yard,2004-06-15,2004-06-15,2005-12-31,2012-07-24,Inactive,,,CHRIS AUTO PARTS II,Company,CHRIS AUTO PARTS II,"6750 ESSINGTON AVE PHILADELPHIA, PA  19153 USA",2678436.8181572,218972.5472946,"POLYGON ((2679160.849193305 219790.73156268537, 2679137.70324136 219650.2915263, 2679129.747220303 219599.17842916565, 2679118.0871380996 219532.84849585395, 2679118.570405007 219530.43741096286, 2679103.6222738726 219355.0384482767, 2679112.301398747 219104.17636753304, 2679122.186229739 218868.6233143965, 2679126.4342552694 218804.87244507158, 2679152.7872355906 218449.00432036456, 2679152.7987185232 218448.8504492562, 2679160.055269726 218350.84143961372, 2679159.1861768123 218350.85423483947, 2679114.438225917 218351.51729021143, 2679003.775367557 218352.5313930438, 2678660.862271473 218355.68328118027, 2678384.690196865 218358.70820278284, 2678331.3622089424 218359.76036483055, 2678267.049988854 218361.02840544668, 2678227.0602315064 218361.81613264018, 2678272.688751735 218605.21628599893, 2678272.7169668814 218605.36720434614, 2678304.027273303 218779.659214094, 2678311.7972713844 218818.83401250563, 2678311.802192639 218818.85829068333, 2678330.622038104 218913.75050870943, 2678332.6597637967 218924.35482035993, 2678336.378260518 218943.70649163608, 2678337.7719586394 218949.43023465664, 2678343.102985198 218971.3212714947, 2678346.4681362477 218985.23200768267, 2678346.50225692 218985.372427375, 2678396.402095475 219208.30050484304, 2678489.1781624295 219681.0024118032, 2678518.2351958943 219710.77958990863, 2678571.036280927 219745.8585963668, 2678603.0929814507 219754.8598933348, 2678604.0132553857 219755.1184230848, 2678637.1083398424 219764.4113861898, 2678637.579139529 219764.5436038167, 2678695.5580382016 219745.25558236986, 2678872.0767492084 219736.60927718293, 2678872.7650681874 219736.57548456386, 2679159.9535256256 219790.56325584988, 2679160.849193305 219790.73156268537))"
